name,title,role
Mr Hassan Shah,Assistant Coroner,Northamptonshire
Miss Sunyana Sharma,Assistant Coroner,"Hampshire, Portsmouth and Southampton"
Mr Edward Ramsay,Assistant Coroner,Swansea and Neath Port Talbot
Laura Wendy Johnson,Assistant Coroner,London East
Mr James Healy-Pratt,Assistant Coroner,East Sussex
Neil Joseph Cronin,Assistant Coroner,Lancashire and Blackburn with Darwen
Miss Fiona Butler,Assistant Coroner,The Black Country Jurisdiction
Dr Leslie Hamilton,Assistant Coroner,County Durham and Darlington
Mr Robert Simpson,Assistant Coroner,Berkshire
Mr James Edward Thompson,Assistant Coroner,County Durham and Darlington
Mr Alan James Blunsdon,Assistant Coroner,Kent North West
Mr Thomas Richard Geoffrey Leeper,Assistant Coroner,Warwickshire
Mr Benjamin Haigh,Assistant Coroner,Teesside and Hartlepool
Sara Sutherland,Assistant Coroner,Lancashire and Blackburn with Darwen
Miss Amanda Jane Bewley,Assistant Coroner,Nottinghamshire
Mr Richard Guy Davies,Assistant Coroner,Cornwall and the Isles of Scilly
Dr Frances Mary Cranfield,Assistant Coroner,Hertfordshire
Mr Edmund Gritt,Assistant Coroner,London South
Mr Simon Connolly,Assistant Coroner,County Durham and Darlington
Ms Heather Williams,Assistant Coroner,Retired Member
Mr Stephen Peter Teasdale,Assistant Coroner,Greater Manchester West
Mrs Elizabeth Wheeler,Assistant Coroner,Cheshire
Mrs Caroline Chandler,Assistant Coroner,Yorkshire West Western
Miss Fiona Jane Gingell,Assistant Coroner,Nottinghamshire
Mr Ian Wade KC,Assistant Coroner,London East
Mr Adam Hodson,Assistant Coroner,Birmingham and Solihull
Mr Colin Phillips,Assistant Coroner,Swansea and Neath Port Talbot
Miss Ceri Iona Evan Owen,Assistant Coroner,Greater Manchester West
Dr Peter Henry Straker,Assistant Coroner,London North
Mr Sukhdev Garcha,Assistant Coroner,Staffordshire and Stoke-on-Trent
Richard Baker,Assistant Coroner,Yorkshire South East
Dr Liliane Marthe Field,Assistant Coroner,London Inner South
Miss Lindsay Tasker,Assistant Coroner,Greater Lincolnshire
Miss Louise E Rae,Assistant Coroner,Blackpool and Fylde
Mrs Nathalie Ann James,Assistant Coroner,Yorkshire South West
Dr Margaret Bayes MBE,Assistant Coroner,Corresponding Member
Dr Rashid Sohail,Assistant Coroner,Manchester City
Dr Séan Cummings,Assistant Coroner,Milton Keynes
Dr Nick Armstrong KC,Assistant Coroner,"West Sussex, Brighton and Hove"
Mr Rob Sowersby,Assistant Coroner,Avon
Mr Mike Bird,Assistant Coroner,"County of Devon, Plymouth & Torbay"
Ms Ellie Oakley,Assistant Coroner,London Inner West
Ms Samantha Broadfoot,Assistant Coroner,Cambridgeshire and Peterborough
Mr Gavin Knox,Assistant Coroner,South Wales Central
Mr Jonathan D P Stevens,Assistant Coroner,London Inner North
Ms Sarah Bourke,Assistant Coroner,London Inner North
Mr Simon Tait,Assistant Coroner,Yorkshire South East
Miss Rebecca Louise Covington,Assistant Coroner,Nottinghamshire
Mr Christopher Leach,Assistant Coroner,Norfolk
Mr Ian Brownhill,Assistant Coroner,Kent
Dr Anton van Dellen,Assistant Coroner,London West
Miss Luisa Maria Nicholson,Assistant Coroner,"County of Devon, Plymouth & Torbay"
Mr David Pojur,Assistant Coroner,North Wales (East & Central)
Christopher John Beverley,Assistant Coroner,Blackpool and Fylde
Mr Philip Vollans,Assistant Coroner,Staffordshire and Stoke-on-Trent
Miss Naomi McLoughlin,Assistant Coroner,Yorkshire West Eastern
Sir Peter Thornton QC,Assistant Coroner,London City
Mr Graham William Anthony Jackson,Assistant Coroner,"Sefton, Knowsley and St Helens"
Mr John Taylor,Assistant Coroner,London North
Ms Judith Vanessa Leach,Assistant Coroner,Oxfordshire
Miss Fiona Morrison,Assistant Coroner,Yorkshire South West
Peter Charles Gore,Assistant Coroner,Yorkshire South East
Mr Simon Brenchley,Assistant Coroner,Birmingham and Solihull
Ms Paula Sparks,Assistant Coroner,London South
Mr Gareth jones,Assistant Coroner,"West Sussex, Brighton and Hove"
Ms Gemma Brannigan,Assistant Coroner,Oxfordshire
Arthur Joseph Pim,Assistant Coroner,Retired Member
Mr David Regan,Assistant Coroner,South Wales Central
Mr Paul Dunn,Assistant Coroner,Northumberland North
Ms Judith Elizabeth Duffin,Assistant Coroner,Hertfordshire
Mr Robert Cohen,Assistant Coroner,Cumbria
Mr Michael Louis Sheridan Mellun,Assistant Coroner,Retired Member
Ms Amy Street,Assistant Coroner,Bedfordshire and Luton
Miss Alison McCormick,Assistant Coroner,Berkshire
Dr Daniel Sharpstone,Assistant Coroner,Suffolk
Miss Laura Fox,Assistant Coroner,Lancashire and Blackburn with Darwen
Mrs Sarah Le Fevre,Assistant Coroner,Gwent
Miss Deborah Sewell,Assistant Coroner,Warwickshire
Mr Nicholas Moss QC,Assistant Coroner,Cambridgeshire and Peterborough
Miss Miss Briony Ballard,Assistant Coroner,London Inner South
Miss Karin Elizabeth Welsh,Assistant Coroner,Sunderland
Mrs Krestina Hayes,Assistant Coroner,Surrey
Mr Roger William Elsey,Judge Coroner,Corresponding Member
Mrs Deborah Ann,Judge Coroner,Corresponding Member
Mr Paul B Matthews,Judge Coroner,Retired Member
HHJ Mark Lucraft QC,Judge Coroner,Honorary Member
John Goldring,Judge Coroner,Yorkshire South East
Mr Nicholas Sanders,Judge Coroner,Corresponding Member
Mr Graeme Dewar McKerrell,Judge Coroner,Corresponding Member
Lord Burnett of Maldon,Judge Coroner,Honorary Member
Anthony F T Sibcy,Former Coroner,Retired Member
Mr Ian G McCreath M.B.E.,Former Coroner,Retired Member
Mr Andrew M Bradley,Former Coroner,Retired Member
J Stewart Atkinson,Former Coroner,Retired Member
Mr Peter J Bedford,Former Coroner,Retired Member
Rodney H G Corner MBE,Former Coroner,Retired Member
Dr Alexander Robert Walker Forrest,Former Coroner,Retired Member
Mr Rob Turnbull,Former Coroner,Retired Member
James M Symington,Former Coroner,Retired Member
Mike C Johnston,Former Coroner,Retired Member
Mr John Matthews,Former Coroner,Retired Member
Mr V F Round,Former Coroner,Retired Member
Nigel D Chapman,Former Coroner,Retired Member
Mr Paul Kelly,Former Coroner,Retired Member
Keith St John Wiseman,Former Coroner,Retired Member
T Kelly,Former Coroner,Retired Member
Mr David R Sarginson,Former Coroner,Retired Member
Mr Peter Judge,Former Coroner,Corresponding Member
Mr C W Johnson,Former Coroner,Retired Member
Mr Geraint Williams,Former Coroner,Retired Member
Mr Ian Smith,Former Coroner,Retired Member
Miss Veronica HAMILTON-DEELEY,Former Coroner,Retired Member
E Stanley Hooper,Former Coroner,Retired Member
Miss Alison M Thompson MBE,Former Coroner,Retired Member
Mr D T Bowen,Former Coroner,Retired Member
P M Walters,Former Coroner,Retired Member
William R Morris,Former Coroner,Retired Member
Michael T Gwynne,Former Coroner,Retired Member
Roger Douglas Atkinson,Former Coroner,Retired Member
Mr Grahame Antony Short,Former Coroner,Retired Member
Mr Stuart P G Fisher,Former Coroner,Retired Member
Mr Andrew Adrian Haigh,Former Coroner,Retired Member
Mr Christopher Dorries,Former Coroner,Retired Member
Ms Lisa Jeanette Hashmi,Former Coroner,Retired Member
Mr Michael Singleton,Former Coroner,Retired Member
Mr Sheriff S Payne,Former Coroner,Retired Member
Richard J Allen,Former Coroner,Wolverhampton
Mr Mark Noel Kendall,Former Coroner,Leicestershire
Wm J Armstrong OBE,Former Coroner,Retired Member
Mr Edward G Thomas,Former Coroner,Retired Member
Peter Gerard Ashworth,Former Coroner,Retired Member
Eric Armstrong,Former Coroner,Retired Member
Robert William Wilson,Former Coroner,Retired Member
Mr Christopher Kent Sumner,Former Coroner,Retired Member
Mr Dewi Pritchard Jones,Former Coroner,Retired Member
C W Malcolm Donnelly,Former Coroner,Retired Member
Michael R Rose,Former Coroner,Retired Member
D C Masters,Former Coroner,Retired Member
Mr David Clark Horsley,Former Coroner,Retired Member
Dr Paul A Knapman,Former Coroner,Retired Member
Dr David J Osborne,Former Coroner,Retired Member
D Hinchliff,Former Coroner,Retired Member
Richard A Hulett,Former Coroner,Retired Member
Alan L Maddrell,Former Coroner,Retired Member
Dr Peter Dean,Former Coroner,Retired Member
Ms Maureen Taylor,Former Coroner,Retired Member
Mr Geoff L Fell,Former Coroner,Retired Member
Richard M Whittington,Former Coroner,Retired Member
Mr Andrew Harris,Former Coroner,Retired Member
David M Halpern,Former Coroner,Retired Member
Hamish M Turner,Former Coroner,Retired Member
R J Balmain,Former Coroner,Retired Member
Mr SIMON NELSON,Former Coroner,Greater Manchester West
Keith M Dowding,Former Coroner,Retired Member
Mr C. Brian Gallon,Former Coroner,Retired Member
Mr John C Taylor,Former Coroner,Retired Member
David Mitford,Former Coroner,Retired Member
Mr DAVID LLEWELYN ROBERTS,Former Coroner,Retired Member
Mr Alan Peter Walsh,Former Coroner,Retired Member
Miss Wendy James,Former Coroner,Retired Member
Lawrence S Addicott,Former Coroner,Retired Member
Michael J F Sheffield,Former Coroner,Retired Member
Dr William F G Dolman,Retired/Honorary members,Retired Member
Dr Roy N Palmer,Retired/Honorary members,London City
William R Knowles,Retired/Honorary members,Retired Member
Ms Henrietta Hill QC,Retired/Honorary members,Honorary Member
Mr Andrew Tweddle,Retired/Honorary members,Retired Member
N G Gardiner,Retired/Honorary members,Retired Member
Miss Lynette Hill,Retired/Honorary members,Honorary Member
Mr Tony Brown,Retired/Honorary members,Retired Member
Dr Roy N Palmer,Retired/Honorary members,London City
Mr Geoffrey M. Saul,Retired/Honorary members,Retired Member
Mr Thomas LUCE,Retired/Honorary members,Honorary Member
Mr Roger J Sykes,Retired/Honorary members,Retired Member
Mr Ian Smith,Retired/Honorary members,Retired Member
Dr William F G Dolman,Retired/Honorary members,Retired Member
Mr Raymond Hemingray,Retired/Honorary members,Honorary Member
William R Knowles,Retired/Honorary members,Retired Member
Mr Robert Chapman,Retired/Honorary members,Retired Member
Mr Derek Winter DL,Retired/Honorary members,Retired Member
Mr Michael F Coker MBE,Retired/Honorary members,Retired Member
Mr T H Kirkman,Retired/Honorary members,Retired Member
Mrs Becky Gunning,Retired/Honorary members,Honorary Member
Mrs Caroline Beasley-Murray OBE,Retired/Honorary members,Retired Member
"Mr Michael J C Burgess CVO, OBE",Retired/Honorary members,Retired Member
Dr Robert Hunter,Retired/Honorary members,Retired Member
Mr DAVID MORRIS,Retired/Honorary members,Retired Member
Leslie Sommer,Retired/Honorary members,Honorary Member
Ms Selena R Lynch,Retired/Honorary members,Retired Member
Dr John Leckey,Retired/Honorary members,Honorary Member
HHJ Edward Thomas Henry Teague QC,Retired/Honorary members,Honorary Member
Mrs Katrina Parkes,Fiscal,Corresponding Member
Mrs Jemma Eadie,Fiscal,Corresponding Member
Mrs Viki Yuille,Fiscal,Corresponding Member
Miss Stephanie Blair,Fiscal,Corresponding Member
Mr David S. A. Green,Fiscal,Corresponding Member
Ms Karima Stewart,Fiscal,Corresponding Member
Ms Selena Brown,Fiscal,Corresponding Member
Ms Denise J Bruce,Fiscal,Corresponding Member
Mr Geoffrey Main,Fiscal,Corresponding Member
David B Harvie,Fiscal,Corresponding Member
Mr Andy Shanks,Fiscal,Corresponding Member
Miss Jennifer Forbes,Fiscal,Corresponding Member
Mr David Crawford,Fiscal,Corresponding Member
Ms Rebecca Lynne Cubbon,Corresponding Member,Corresponding Member
Dr Mary McCaffrey,Corresponding Member,Corresponding Member
Mr Joseph Kelly,Corresponding Member,Corresponding Member
Mr Brian O'Connor,Corresponding Member,Corresponding Member
