sent_to,count
The Security Service,2
Care UK Clinical Services,2
Cumbria Constabulary,2
2gether NHS Trust,2
MFT,2
Care Outlook Ltd,2
The Royal Yachting Association,2
Luton Borough Council,2
Care Inspectorate Wales,2
MEDACS Healthcare,2
West Suffolk NHS Foundation Trust,2
The Royal College of Pathology,2
The Royal College of Physicians,2
The Royal Wolverhampton NHS Trust,2
CIOS ICB,2
"Cumbria, Northumberland, Tyne and Wear NHS Foundation Trust",2
Beko Plc,2
Cardiff & Vale University Health Board,2
Cardinal Healthcare,2
Northamptonshire Police,2
Cardiff and Vale NHS Trust,2
Monmouthshire County Council,2
Wandsworth Borough Council,2
Cardiff University,2
The Road Haulage Association,2
Not Listed,2
The Road Transport Industry Training Board,2
Royal Hallamshire Hospital,1
Serco Group,1
Oaks Medical Centre,1
Royal Orthopaedic Hospital NHS Foundation Trust ,1
Oasis Recovery Communites,1
Northamptonshire Children Safeguarding Partnership,1
Arboricultural Association,1
Royal Orthopaedic Hospital NHS Foundation Trust,1
Options for Care Ltd,1
Off the Rails Cafe,1
Royal Hampshire County Hospital,1
Optare,1
Royal Mail,1
Optum,1
Alexander House Health Centre,1
Royal Life Saving Society UK,1
Royal Institute of British Architects,1
Royal Hospital School,1
Serco House,1
Royal Orthopeadic Hospital,1
Alexandra View Care Home,1
Northamptonshire County Council,1
"Oak Court House, Wolverhampton City Council",1
Ashford and St Peter’s Hospitals NHS Trust,1
"Royal United Hospital, Bath",1
All Party Parliamentary Gas Safety Group,1
Northern General Hospital,1
Select Healthcare,1
Oracle UK Limited,1
Oadby and Wigston Borough Council,1
Royal Surrey County Hospital NHS Trust,1
Royal Surrey County Hospital NHS Foundation Trust,1
Senior Lawyer Professional Support,1
Oak Lodge Care Home,1
Royal Gwent Hospital,1
Al Hijrah School,1
Oak Side Surgery,1
Sheffield County Council,1
Oak Tree Mews Care Home ,1
Normanton Village View Nursing Home,1
Royal Pharmaceutical Society of Great Britain,1
North & Mid Wales Trunk Road Agency,1
Alexander Court Care Central,1
Oracle Health UK,1
Sequence Care Group,1
Air Liquide,1
Ashford and St Peter’s Hospital Trust,1
Office for Students,1
North Cumbria Integrated Care NHS Foundation Trust,1
Oldham Care Commissioning Group,1
Northern Gas Network,1
North Cumbria Integrated Care NHS Foundation Trust   ,1
North Cumbria Integrated Care NHS Trust ,1
Services for Children,1
North of England Commissioning Report,1
Newbury Park Health Centre,1
Royal Cornwall Hospital Trust ,1
Sett Valley Medical Centre,1
Alexandra Homes Ltd ,1
Shannon Court Care Centre,1
Aintree Hospitals NHS Trust,1
Royal College of Radiology,1
Shaw Healthcare,1
Shawe Lodge,1
Sheffield Children’s Hospital,1
Royal College of Speech and Language Therapists,1
Northern Care Limited,1
Royal Cornwall Hospital Truro,1
Alexandra Rose Care Home,1
Air Balloon Surgery,1
Royal Derby Hospital,1
Service Director for Environment Cornwall Council,1
Royal College of Surgeons of England,1
Oldham Borough Council,1
Royal College of Psychiatry,1
North Bristol Trust,1
Office of Rail and Road,1
Royal Free London NHS Foundation Trust ,1
Office of the Traffic Commissioner,1
Officer of the College of Policing,1
All Care In One Ltd   ,1
Alexandra & Crestview Surgeries ,1
North Court Care Home – Maven Healthcare ,1
ORCi,1
Ofsted,1
Sheffield Council,1
Old Bridge Surgery,1
Serco Prison Transport Services,1
Old Catton Medical Practice,1
One Medical Group,1
Serco Wincanton,1
Northampton General Hospital ,1
Royal Docks Medical Practice,1
Northampton General Hospital Trust,1
Royal Devon University Healthcare NHS Foundation,1
Ashgate House Nursing Home,1
Nottingham City Council,1
Sedgemoor District Council,1
"Secretary of State for Education, Department for Education",1
Army Headquarters,1
Nottingham University Hospitals,1
Scottish Cycling,1
Sainsbury’s,1
Next Stage,1
Northamptonshire Healthcare NHS Trust,1
Scottish Dental Clinical Effectiveness Programme,1
Northumbria Health Trust,1
Northumbria Health Care Trust,1
Seaton and Colyton Medical Practice,1
Secretary for Communities and Local Government,1
Nightingale Home Help Service,1
Scape Living Student Accommodation,1
Sainsburys,1
Newcastle upon Tyne Hospitals NHS Foundation Trust,1
Nottinghamshire Clinical Commissioning Group,1
Nightingale Hospital,1
Non-Executive Directors’ Association,1
Norfolk Community Health & Care NHS Trust ,1
Saga Homecare,1
Armed Forces Minister,1
Norfolk Community Health and Care NHS Trust,1
Saffronland Homes limited,1
Nottinghamshire Healthcare NHS Foundation Trust ,1
Schindler Ltd,1
Scania,1
Northern Medical Centre,1
Airedale NHS Trust,1
Sandwell Highways,1
Newton House (formerly Regency Hospital),1
Nottingham Clinical Commissioning Group,1
Sandwell Council,1
Newport City Council – Highways,1
Sandwell Borough Council,1
Sanctuary Housing,1
Newmarket Promotions Limited,1
Salter Labs,1
Salisbury Hospital NHS Trust,1
Sandwell Local Authority,1
Newham Social Care,1
Sapphire Independent Living,1
Norwich Practices Health Centre,1
Norvic Clinic,1
Nottingham Healthcare NHS Trust,1
Northwood Square,1
Newgate Medical Group,1
Nottingham Healthcare Trust,1
Nottingham North and East Clinical Commissioning Group,1
Northumbria Water,1
Northumbria Police Service,1
Sapphire House,1
Nottingham Police,1
Safety Matters Ltd,1
Newcastle Upon Tyne NHS Trust,1
Northfield Medical Practice,1
Rush Green Medical Centre,1
Nuffield Hospital,1
Nuffield Road Medical Centre,1
"Secretary of State for Health and Social Care, Department of Health and Social Care",1
Nursing & Midwifery Council,1
SALFORD ROYAL HOSPITAL FOUNDATION TRUST,1
Security Industry Authority,1
S & J Transport,1
Russells Hall Hospital ,1
Russell Hall Hospital,1
Rushcliffe Clinical Commissioning Group,1
Rushcliffe Care,1
Rush Court Nursing Home,1
Safety Matters (Legal) Limited,1
Rugby Football Union ,1
Norfolk Swift Response,1
Rugby Football Union,1
Area Transport and Highways,1
Newport County Council,1
Royton & Crompton Family Practice,1
Nuttall Ltd,1
Arden Court Nursing Home,1
Arts University Bournemouth,1
Royal Wolverhampton NHS Trust,1
Ashlea Medical Practice,1
SATH,1
Nuffield Health,1
SC Johnson and Son,1
Npower,1
Northern Rail Limited,1
Northern Rail,1
Arjo Huntliegh,1
Oracle and Cerner,1
Newcastle Upon Tyne City Council,1
Safety Assessment Federation,1
Newcastle Foundation NHS Trust,1
Safehands Ltd,1
Norfolk County Council- Adult Social Care,1
Safeguarding Adults Board,1
SW Yorks NHS Trust,1
SSP Health Ltd,1
Newcastle City Council,1
SMA Medical Practice,1
SHSC,1
Secretary of State for Health,1
Airedale NHS Foundation Trust ,1
SERCO Group Plc,1
Norfolk Police,1
Nottinghamshire Safeguarding Children Board,1
SE Galvanisers,1
SCAS Legal Services,1
"Secretary of State for Health and Social Care, 39 Victoria St London SW1H 0EU",1
Ashley Gardens Care Centre,1
President of the Royal College of Pathologists,1
Alliance Pharmaceutical,1
Pinderfields General Hospital,1
Philips Electronics UK Ltd,1
RCI,1
Phillips Healthcare,1
Quora,1
Anastasia Boat,1
Queen’s Harbour Master Portsmouth,1
Phoenix Care Centre,1
Queens Hospital Burton Upon Trent,1
Queens Hospital,1
Phoenix Futures,1
North London NHS Foundation Trust ,1
Phuket Highway District,1
Physio-Control UK Ltd,1
Queen Victoria NHS Trust,1
Queen Mary’s University of London,1
Orchard 2000 Pharmacy and General Pharmaceutical Council,1
Pindy Enterprises Limited,1
Queen Mary’s Hospital for Children,1
North Middlesex Hospital,1
Pintrest,1
Queen Elizabeth Hospital Trust,1
Anetic Aid Limited,1
Plateus Ltd,1
Queen Alexandra Hospital,1
Quarry House,1
Quarry Bank Medical centre,1
Pluss Work Choice,1
Quality and Exemplar Healthcare,1
North West Anglia NHS Trust,1
Plymouth City Council ,1
Pharmacy2U Limited,1
RCRP Strategic Partnership Board,1
RDaSH NHS Trust,1
Amphenol Thermometrics (UK) Ltd,1
Recovery Steps,1
Reckitt Benckisher Healthcare (UK) Ltd,1
"Reading University Universities UK
 ",1
North Essex Partnership University NHS Foundation,1
Reading Borough Council Adult Social Care,1
Ranc Care Home Ltd,1
Ramsay Healthcare UK,1
North Essex University NHS Trust,1
Rambleguard Ltd,1
Rail Safety Board,1
North West Collaborative Clinical Commissioning Group,1
Radis Community Care,1
Radiology Reporting Online LLP,1
Pennine NHS Trust,1
Northern Care Alliance NHS Group,1
RadcliffesLeBrasseur LLP,1
Radcliffe Manor House Care Home,1
Radcliffe Investment Properties,1
North Laine Medical Centre,1
Pentree Lodge Home,1
Persimmon Homes Severn Valley,1
Persona Care and Support Ltd,1
RPFI,1
RPAS,1
Petroc GP Group Practice,1
North London Forensic Service,1
RICS,1
Pfizer,1
Pharmaceutical Council,1
North Middlesex University Hospital NHS Trust ,1
QHS GP Care Home,1
Q-Park Limited,1
Priority Dispatch Corporation,1
North West Ambulance,1
Angel Solutions (UK) Limited,1
Princess Street Practice,1
Princess Royal University Hospital,1
Portsmouth Motocross Club,1
Aneurin University Health Board,1
Powys Highways Department,1
North West Ambulance Service ,1
Ashfield Surgery Sutton Coldfield,1
Practice 1 Keir Hardie Health Park,1
Princess Alexandra Hospital NHS Foundation Trust ,1
Aneurin Bevan University Health Board ,1
Precision Bodyshop Ltd,1
Prembrokeshire County Council,1
Premier League,1
Princess Alexandra Hospital,1
Princess Alexander Hospital,1
Premier Rescue Ambulance Services,1
Princess Aleandra Hospital,1
Prince Charles Hospital,1
Primebulk Shipmanagement Limited,1
North West Ambulance Service Trust NHS,1
Prime Minister's Office,1
Premiere Health Ltd,1
President of the Royal College of General Practitioners,1
Primary Care Support England,1
Primary Care NHS Devon,1
Pret-a-Manger,1
Prestwick Care,1
North Wales Police,1
North Wales Constabulary,1
Public Services,1
North Tyneside Hospital,1
Public Health for the Isle of Wight,1
Aneurin Bevan Health Board,1
Anglian Community Enterprise,1
Police Safer Roads Team,1
Police Service of Northern Ireland Belfast,1
North Midlands NHS Trust,1
Police and Crime Commissioner,1
Police and Prisons Ombudsman,1
Public Health,1
Provost Marshall (Army),1
Provident Housing,1
Prospect Park Hospital,1
North NHS Trust,1
Policy and Patient Safety Directorate,1
Proprietary Association,1
Porthleven Harbour and Dock Company,1
Professional Footballers’ Association,1
Portsmouth Hospital NHS Trust,1
Portsmouth Hospital NHS Trust ,1
Probation Service,1
Pristine Care Group Ltd,1
North Staffordshire Combined Healthcare Trust,1
Prison Officers Association,1
North Tees and Hartlepool NHS Trust,1
Prism Medical UK Ltd,1
Priory Hospital Roehampton,1
North Tyneside General Hospital,1
Priory Hospital,1
Priory Group of Hospitals,1
North West Fire Control,1
Red House Surgery,1
Red Oaks Care Community ,1
Royal Borough of Kensington & Chelsea,1
Royal Bolton Hospital ,1
Amey PLC,1
Royal Berkshire NHS Foundation Trust ,1
North West Waterways Canal & River Trust,1
P3 Charity,1
Roundwell Medical Centre,1
Roundhouse,1
Ashford and St Peter’s Hospital NHS Trust,1
PCRSteel Ltd.,1
PJ Care,1
Rotherham NHS Trust,1
Rotherham NHS Foundation Trust   ,1
Rotherham NHS Foundation Trust,1
PLASA,1
Amgen Limited,1
Rotherham Borough Council,1
Rother District Council,1
POM-EKO,1
Rossmere Park Care Home,1
Rossendale Nursing Home,1
Rossendale Borough Council,1
North West Route Director,1
North East Ambulance Trust,1
Park & Francis Surgery,1
Rosewood Lodge Nursing Home,1
Rosewood Healthcare Group,1
Park Holiday UK Limited,1
Park View Group Practice,1
Roseland Care Home,1
Oxleas NHS Mental Trust,1
Royal Borough of Kensington and Chelsea,1
Rosehill House Care Home,1
North Devon Healthcare NHS Trust,1
Alvaston Medical Centre,1
Orchard Care Homes,1
Ordnance Survey,1
Outlook Care Ltd,1
Aran Court Care Centre,1
North Devon District Council,1
Royal College of Obstetricians and Gynaecology for Clinical Quality,1
Amazon,1
Oxford Health NHS Foundation Trust ,1
Appleton Lodge Care Home,1
Royal College of Nursing and Midwifery,1
North Yorkshire County Council Highways Authority,1
Oxford University Hospital,1
North Yorkshire Council,1
Royal College of Gynaecologists and Obstetricians,1
Ambassador House Care Home,1
North Devon District Hospital,1
Royal College of General Practice,1
Oxford University Hospitals NHS Foundation Trust ,1
Oxfordshire County Council ,1
Oxfordshire County Council  ,1
President of the Royal College of Psychiatrists,1
"Royal College of Anaesthetists (RCOA)  
Faculty of Intensive Care Medicine (FICM) 
Royal College of Emergency Medicine (RCEM)
NHS England ",1
Ambulance Association,1
Oxleas,1
Oxleas Mental Health Trust,1
Oxleas NHS Foundation,1
Apple UK Limited,1
Royal College for GP’s,1
Parkdeane Holidays,1
Parkhill Group of Companies,1
Redbridge Clinical Commissioning Group,1
Ritchie Street Group Practice,1
Ringmead Medical Group,1
Richmond Clinic,1
Rhondda Cyon Taff Highways Department,1
Peel Holdings,1
Rhondda Cynon Taff County Borough Council,1
Rhondda Cynon Taf County Borough Council,1
Revon Healthcare ,1
Resuscitation Council UK,1
Resuscitation Council (UK),1
Resus Council UK,1
Peel Medical Practice,1
North East London Trust,1
"Pelham House, West Sussex",1
Reinbek Care Home,1
Pelican Partners Ltd,1
Pembrokeshire County Council Hall,1
Pendine Park Care Organisation,1
Reigate and Banstead Council,1
North West Motorway Police Group,1
Pennine Care Health Foundation NHS Trust,1
Regulatory Counsel and Disciplinary Officer,1
Regenesis Health Travel Limited,1
Pennine Care Mental Health Trust,1
Antron Manor Care Home,1
Regard Care,1
Reed Nursing Trust,1
Redningsselskapet,1
Redcar Council,1
North Essex Partnership NHS Foundation Trust,1
Risedale Estates Limited,1
Riversdale Care Home,1
Rosedale Care Home,1
Riverside Rest Home,1
North East Lincolnshire Council,1
Roseberry Care Centres,1
Ashford and St Peter Hospital,1
Rose Builders and Contractors Ltd,1
North East London Foundation Trust Goodmayes Hospital,1
North East London Foundation Trust ,1
Passmonds Care Home,1
Rope Green Medical Centre,1
Rookery Medical Centre,1
"Patient Safety Lead, County Durham and Darlington NHS Foundation Trust",1
Patient Transport UK Ltd,1
Patrick Stead Hospital,1
Paul Wainwright Construction Services Ltd,1
Rocky Lane Medical Centre,1
Roche Diagnostics Limited,1
"Rochdale, Heywood and Middleton Clinical Commissioning Group",1
Ashford Borough Council,1
Rochdale Heywood and Middleton Clinical Commissioning Group,1
Rochdale Borough Council,1
Rochdale Adult Care,1
Rochcare,1
Roads and Highways – Kirklees Council,1
Peabody,1
Road (Highways Safety) related deaths,1
Peabody Trust,1
Road & Rail,1
North East London NHS Foundation Trust ,1
Riverview Surgery,1
Peak Valley Housing Association,1
Amberley Hall Care Home,1
St Marien Hospital Trust,1
Sheffield Hospitals NHS Trust,1
University College Hospital NHS Trust,1
Unilink Software Ltd,1
United Care (North) Limited,1
United Children’s Services,1
ADAPT,1
United Lincolnshire Hospitals NHS Trust,1
United Pharmacy,1
United Response,1
Unity Insurance Services: Scouting and Scout Groups Insurance,1
Unity MAT,1
University College London Hospitals NHS Foundation Trust,1
Tynant Nursing Home,1
University College London Hospitals NHS Foundation Trust ,1
ACPO,1
University College London Hospitals NHS Trust ,1
ABTA – The Travel Association,1
University Hospital North Midlands,1
ABTA,1
ABMU HEALTH BOARD,1
University Hospital of North Staffordshire NHS Trust,1
University Hospital of South Manchester,1
Ultra Events Ltd,1
Uber Eats,1
URBN UK Ltd,1
UPS,1
UCB Pharma,1
UK Active,1
UK Athletics,1
UK Civil Aviation Authority,1
UK Cleaning Product Industry Association,1
UK Fatal Anaphylaxis Registry,1
UK Foundation Programme,1
UK Harbour Master’s Association,1
ADL PLC,1
UK Home Care,1
UK Kidney Association,1
UK Major Ports Group,1
UK Power Networks Holdings Ltd,1
UK Sport,1
UK Telehealthcare,1
UK-AFI,1
UKHSA,1
UKTram,1
UNMH,1
University Hospital of South Manchester NHS Foundation Trust,1
"University Hospital, Coventry",1
AACE’s National Directors of Operations Group,1
University of Manchester NHS Foundation Trust,1
University of South Wales,1
University of Southampton,1
University of Sussex,1
University of the Arts London,1
Unusual Rigging Ltd,1
Uplands Medical Practice,1
Upwell Street Surgery,1
Urban Housing Services,1
Urgent Care NHS England,1
Urgent Health UK,1
Vale Royal Area Highway Office,1
Vale of Glamorgan Council,1
Vantage Drilling Company,1
Various,1
Vascular Access Society of Britain and Ireland,1
Vehicle Operator Services Agency,1
Velindre University NHS Trust,1
Victoria Residential Home ,1
Villa Adastra Care Home,1
University of North Midlands Hospital NHS Trust,1
University of Leicester Hospitals NHS Trust,1
University Hospitals Birmingham ,1
University of Exeter,1
A2Dominion of The Point,1
University Hospitals Bristol NHS Trust ,1
University Hospitals North Midlands NHS Trust,1
University Hospitals Plymouth NHS Trust  ,1
A.J Way & Co Ltd,1
University Hospitals Sussex NHS Foundation Trust ,1
University Hospitals of Derby and Burton NHS Trust,1
University Hospitals of Leicester,1
A-ONE+,1
University Hospitals of Morecambe Bay NHS Foundation Trust,1
University Hospitals of Morecambe Bay NHS Trust,1
University Hospitals of North Midlands NHS Trust,1
University Hospitals of North Midlands NHS Trust ,1
University Hospitals of Northamptonshire,1
University Hospitals of Northamptonshire NHS Group,1
University Hospital’s of North Midlands,1
University of Arts London,1
University of Birmingham,1
University of Cambridge,1
Tyne Housing Association,1
Tyersal Farm,1
The Quality Care Commission,1
The Security Industry Authority,1
The Royal London Hospital,1
The Royal Pharmaceutical Society,1
The Royal Pharmaceutical Society ,1
"The Royal Wolverhampton, New Cross Hospital",1
The Salvation Army,1
The Samaritans,1
The Scout Association,1
The Scouts Association,1
The Secret Intelligence Service,1
The Showmen’s Guild of Great Britain,1
Twitter International Company,1
The Sixth Form Colleges Association,1
The Society of Radiographers,1
The Stockton Public House,1
The Student Health Service,1
The Surgery Chesterton,1
The Telecare Services Association ,1
The Timber Packaging and Pallet Confederation,1
The Trading Standards Institute,1
The Unite Group plc  ,1
The Royal Hallamshire Hospital,1
The Royal College of Surgeons of England,1
AGD Equipment Limited,1
The Royal College of Midwives.,1
The RAC Motorsports Association,1
The Rail Accident Investigation Branch,1
The Rail Maritime and Transport Union,1
The Range,1
The Red House (Ashtead) Limited,1
The Registered Nursing Home Association,1
The Resuscitation Council (UK),1
The Right Honourable Jeremy Hunt MP,1
The Right Honourable Theresa May MP,1
The Riverside Group Limited ,1
The Road Surface Treatments Association,1
The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,1
The Roundwood Medical Centre,1
The Royal Albert Edward Infirmary,1
The Royal Bolton Hospital,1
The Royal Bolton Hospital NHS Foundation Trust,1
The Royal College of Emergency Medicine (‘RCEM’),1
ALLMI,1
The Royal College of General Practitioners (RCGP) ,1
The University Hospitals of Derby and Burton NHS FT,1
The University of South Manchester NHS Foundation Trust,1
The Village Medical Centre,1
Toyota PLC,1
AGCO Ltd,1
Trafford County Council,1
Trafford Crisis Resolution and Home Treatment Team,1
"Train Services, DLR",1
Transport Focus,1
"Transport Manager, Reading Borough Council",1
Transport and Rural Affairs at Suffolk County Council,1
ADS,1
Transport for London ,1
Transport for West Midlands,1
Travel Lodge,1
Treanor Pujol Limited,1
Treasury Solicitors,1
Treatment Direct Limited,1
Trent and Dove Social Housing,1
Tricuro,1
Trinity Medical Centre,1
Tunstall Response,1
Twinglobe Care Homes Limited,1
Tradomi S.L. Transporte,1
Toxbase,1
The Wallich Centre,1
Townhead Surgery ,1
The Waterfield Practice,1
The Yacht Harbour Association Ltd,1
The York Hospital,1
The Youth Justice Board,1
Thomas Cook,1
Thornton Heath Medical Practice,1
Thornton and Ross Ltd,1
Three Sisters Care Ltd,1
Timperley Care Home,1
Tissue Viability Nurses,1
Titan Containers Limited,1
Together Housing,1
Tonic Construction Ltd,1
Torbay Council,1
Torbay Hospital,1
Torbay and South Devon Clinical Commissioning Group,1
Totally Urgent Care,1
Tower Bridge Care Home,1
Tower Hamlets Social Services,1
Village Nursing and Care Home,1
Virgin Care Limited,1
Virgin Care Services Limited,1
Woking Borough Council,1
Wiltshire Landscape National Trust,1
Winchmore Hill Practice,1
Windmill House Care Home,1
Windsor and Maidenhead Community Mental Health Team,1
Wirral Clinical Commissioning Group,1
Wirral University Hospital Trust,1
Wirral University Teaching Hospital,1
Wirral University Teaching Hospital NHS Foundation Trust,1
Withybush General Hospital,1
Wolverhampton University,1
Vision and Cegedim,1
Wood Street Medical Centre,1
Woodlands Hospital,1
Woodlands Surgery,1
Woodley Centre Surgery,1
Woolwich Station Medical Centre,1
1. The Chief Executive of the Royal Society for the Prevention of Accidents,1
Worcestershire Acute Hospital NHS Trust ,1
Worcestershire Acute Hospital Trust,1
1. East London Foundation Trust (ELFT),1
"1. [REDACTED] , Chief Executive Officer, Barts Health NHS Foundation Trust",1
Wiltshire Constabulary,1
Wiltshire Clinical Commissioning Group,1
Wilsden Medical Practice,1
Whiston Hospital,1
White Branch Live Limited,1
White Horse Medical Practice,1
Whitefriars Housing,1
Whitelock Development,1
Whitepost healthcare Group,1
Whittington Health,1
1st Care 4U,1
Whittington Hospital,1
111 Service,1
Wibsey and Queensbury Medical Practice,1
Widnes Hall Care Home,1
Wigan Borough Clinical Commissioning Group,1
Wigan Discharge Team,1
Wigan Life Centre,1
Wigan Metropolitan Borough Council ,1
William Perkin High School,1
Williams and Spenceley Limited,1
Willow Grange Care Home ,1
Worcestershire Acute Hospitals Trust,1
1) [REDACTED] National Institute for Health and Care Excellence,1
Worcestershire NHS Trust,1
Your Health Partnership Regis Medical Centre,1
Youth Justice Board,1
Youth Justice Board for England and Wales,1
Zelltec Limited,1
Zinnia Healthcare Limited,1
"[REDACTED]
Lead Director Infrastructure Norfolk County Council
Martineau Lane
Norwich
NR1 2DH",1
"[REDACTED] CEO, NHS England",1
[REDACTED] Chief Executive of Digital Health & Care Wales,1
[REDACTED] HMP Garth,1
"[REDACTED] The Chief Executive Officer 
East London NHS Foundation Trust Trust Headquarters 
9 Alie Street 
London  
E1 8DE ",1
[REDACTED] The Secretary of State for the Department of Health and Social Care.,1
"[REDACTED], Chief Executive Officer, NHS England: [REDACTED]",1
"[REDACTED], Chief Executive of the Royal College of Midwives, [REDACTED],  Chief Executive of the Nursing and Midwifery Council, [REDACTED],  Chief Executive of the Royal College of Obstetrics, [REDACTED], Chief Executive of National Institute for Clinical Excellence, [REDACTED], Chief Executive of NHS England",1
"[REDACTED], Chief Executive, Medicines and Healthcare  Products Regulatory Agency (MHRA), 10 South Colonnade, Canary",1
"[REDACTED], Chief National Medical Examiner, National Medical Examiner’s Office, 6 Alie Street, London E1 8QT",1
"[REDACTED], Parliamentary Under-Secretary for Patient Safety, Women’s Health and Mental Health, 39 Victoria Street, London SW1H 0EU",1
"[REDACTED], President of The Royal College of Radiologists",1
"[REDACTED], Secretary of State for Health and Social Care",1
"[REDACTED], The Commissioner of Police of the Metropolis",1
"and 
4) [REDACTED], Leyden Delta Ltd.",1
Your Housing,1
Your Health Limited,1
Worcestershire Safeguarding Children’s Board,1
Youngman,1
Workforce and Corporate Business,1
Worthing Homes,1
Wrexham County Council,1
Wrightington Wigan,1
"Wrightington, Wigan and Leigh NHS Trust",1
"Wrightington, Wigan and Leigh Teaching Hospitals NHS Foundation Trust",1
Wychall Lane Surgery,1
YAS Legal,1
YOI Doncaster,1
Yeovil District Hospital,1
Ynys Mon County Council,1
York & Scarborough NHS Trust ,1
York House Surgery,1
York Road Pharmacy,1
1) NHS England 2) East Cheshire NHS Trust,1
Yorkshire Ambulance Service NHS Foundation Trust,1
Yorkshire Ambulance Service NHS trust ,1
Yorkshire Care Equipment,1
Yorkshire Water PLC,1
Whirlpool UK Appliances,1
Whirlpool UK,1
Whirlpool (UK) Appliances,1
Wanstead Place Surgery,1
Warrington Hospital,1
Warwick Medical School,1
Warwickshire City Council,1
999 Liaison Committee,1
Waste Industry Safety & Health Forum,1
Waterloo Manor Hospital,1
Waterside Medical Centre,1
Waveney Clinical Commissioning Group,1
Waveney River Centre,1
Waxham House Residential Care Home,1
Wayland Farms Limited,1
We Are With You charity,1
Weightmans LLP,1
Weightmans’s Solicitors,1
Wells Pharmacy,1
Wells Road Surgery,1
Wellsky,1
"5 Boroughs Partnership NHS Foundation Trust, Warrington",1
5 Boroughs Partnership,1
Ward Bros (Malton) Ltd ,1
"Wandsworth, Merton, Richmond and Sutton Borough Council",1
Welsh Ambulance Services NHS Trust.,1
Wandsworth Consortium Drug and Alcohol Services,1
Vita health Group : Kent and Medway Talking Therapies,1
Volvo Car Corporation,1
Volvo Group (UK) Limited,1
W E Rawson Ltd,1
W M Morrisons PLC,1
WELSH ASSEMBLY GOVERNMENT,1
WIGAN INTERGRATED CARE BOARD,1
WISH,1
Wakefield Council,1
Wakefield District Safeguarding Adults Board,1
A&B Healthcare Ltd,1
Wales and West Utilities,1
Wales prevention of future deaths reports (2019 onwards),1
A ONE+,1
Walsall Manor Hospital Trust,1
Walsall Mental Health Partnership,1
Walsall Metropolitan Borough,1
Walsall Metropolitan Borough Council,1
Walsall and Dudley Mental Health NHS Trust,1
5 Boroughs NHS  Foundation Trust,1
Welsh Ambulance Services University NHS Trust ,1
Whipps Cross Hospital,1
West Suffolk Hospitals,1
West Sussex County Council ,1
West Sussex County Social Services,1
West Timperley Medical Centre,1
West Wales General Hospital Glangwili Carmarthen,1
West Yorkshire Integrated Care Board  ,1
2) [REDACTED] Viatris UK Healthcare Ltd,1
West Yorkshire Police Force,1
West Yorkshire Police ,1
West Yorkshire and Harrogate Integrated Stroke Delivery Network,1
West of England Combined Authority,1
1st For Health International,1
Western Sussex Hospitals,1
Westlands Care Home,1
Westminster City Council,1
Weston NHS Foundation Trust,1
Westwood Hall Nursing Home,1
Westwood Homecare Limited,1
Wexham Park Hospital,1
Weymouth Street Hospital,1
West Suffolk NHS Foundation Trust ,1
West Quay Surgery,1
Welsh Government Health and Social Care,1
West Park Hospital,1
Welsh Government Office,1
Welsh Government ,1
Welsh Health Minister,1
Welsh Parliament ,1
Wessex Water Services Limited,1
West Berkshire Highways Authority,1
West Cheshire Clinical Commissioning Group,1
West End Garage,1
West London Alliance,1
West London Care Commissioning Group,1
49 Marine Avenue Surgery,1
West Mercia Constabulary,1
"3D Trans, Health and Safety Executive",1
West Midlands Ambulance Trust,1
West Midlands Combined Authority,1
West Midlands Fire Service,1
West Midlands Fire Service ,1
"3) [REDACTED], Britannia Pharmaceutical Ltd",1
West Midlands Police ,1
The Queen Elizabeth Hospital,1
The Professional Association of Diving Instructors,1
Sheffield Teaching Hospital Trust NHS Foundation Trust,1
Staffordshire County Council ,1
St Peter’s and Ashford Hospitals,1
St Richards Hospital,1
St Richard’s Hospital,1
St Thomas Hospital,1
St Thomas NHS Foundation Trust,1
Stafford Hospital,1
Stafford and Surrounds Clinical Commissioning Group,1
Staffordshire Clinical Commissioning Group,1
Aden Nursing Home,1
Staffordshire Highways ,1
Springfield Medical Practice,1
Staffordshire Moorlands District Council ,1
Stamford Quarter Shopping Centre,1
Stanley Park Care Centre,1
Steadplan Ltd,1
Adelaide Medical Centre,1
Steps2Recovery,1
Stewarts Law,1
StockXS Limited,1
Addison House Surgery,1
Adferiad Recovery,1
St Mungo’s ,1
St Mary’s Nursing Home,1
St Mary’s Hospital Warrington,1
Square Sail,1
St Andrew’s Surgery Hull,1
St Armands Court Residential Care Home,1
St Chads Medical Practice,1
St Charles Hospital,1
St Edward’s School,1
St George’s Epsom and St Helier Group,1
Adult Safeguarding Kent County Council,1
St George’s University Hospitals,1
Adullam Homes Housing Association,1
St Giles Care Home,1
St Giles Nursing Home,1
St Helens Clinical Commissioning Group,1
St John's Nursing Home,1
"St John’s College, Oxford University",1
St Lukes Primary Care Centre,1
New Scotland Yard,1
St Mary’s Health Centre,1
St Mary’s Hospital NHS Trust,1
Stockport Council,1
Stockport Homes,1
Stockport Integrated Care Partnership,1
Supreme Care Services Limited,1
Surrey Community Health,1
Surrey Constabulary,1
Adbolton Hall Nursing Home,1
Surrey Local Highways Services Group Manager,1
Adams Pharmacy,1
Surrey and Borders NHS Partnership Trust,1
"Acute Mental Health Services, West London NHS Trust",1
