sent_to,no. PFDs,no. recipients,no. replies,no. complete responses,no. partial responses,no. overdue responses,no. pending responses
GEOAmey,3,13,7,1,0,2,0
Suffolk Highways,3,5,4,2,0,1,0
"Barking, Havering and Redbridge University Hospital",3,6,5,2,0,1,0
Frimley Park Hospital NHS Trust,3,9,2,1,0,2,0
Royal College of Paediatricians,3,15,9,0,2,1,0
Surrey & Borders Partnership NHS Trust,3,8,5,1,0,1,1
Foreign and Commonwealth Office,3,6,0,0,0,2,1
Royal College of GPs,3,10,7,0,1,2,0
Kent Police,3,5,3,1,2,0,0
James Paget University Hospital,3,7,6,2,1,0,0
Royal Borough of Greenwich,3,25,8,0,2,1,0
Swindon Borough Council,3,4,3,2,0,0,1
Royal Berkshire Hospital,3,5,2,1,0,2,0
TFL,3,4,3,2,0,0,1
Abertawe Bro Morgannwg University Health Board,3,6,1,0,0,3,0
Tameside Hospital NHS Trust,3,3,3,3,0,0,0
Northern Care Alliance NHS Foundation Trust,3,16,10,2,0,1,0
Birmingham Women’s and Children’s NHS Trust,3,8,4,0,0,3,0
West London NHS Trust,3,4,2,2,0,0,1
Wrexham County Borough Council,3,4,3,2,1,0,0
NHS South Yorkshire Integrated Care Board,3,5,3,1,1,1,0
CNWL NHS Trust,3,10,2,0,0,3,0
Bolton Council,3,6,5,2,0,1,0
NHS Blood and Transplant,3,6,2,0,1,1,1
National Trading Standards,3,9,6,0,2,1,0
North Manchester General Hospital,3,4,2,2,0,1,0
North West Boroughs Healthcare NHS Foundation Trust,3,3,2,2,0,1,0
NHS Sussex Integrated Care Board,3,7,7,3,0,0,0
York & Scarborough Teaching Hospitals NHS Foundation Trust,3,4,3,2,0,0,1
North Lincolnshire Council,3,3,2,2,0,1,0
Bradford District Care NHS Trust,3,9,5,2,1,0,0
Camden Council,3,4,3,2,1,0,0
Association of British Insurers,3,22,9,0,3,0,0
North East and North Cumbria Integrated Care Board,3,10,8,2,0,0,1
NHS Dorset,3,16,18,2,1,0,0
National Ambulance Service Medical Directors,3,13,9,0,3,0,0
Cambridgeshire County Council,3,3,3,3,0,0,0
British National Formulary,3,15,5,0,1,2,0
Birmingham Cross City Clinical Commissioning Group,3,11,6,2,0,1,0
Worcester Health and care Trust,3,4,3,2,0,1,0
National Fire Chiefs Council,3,27,15,1,2,0,0
West Midlands Ambulance Service University NHS Foundation Trust,3,15,11,2,0,1,0
Wolverhampton City Council,3,9,4,0,1,2,0
North Yorkshire Clinical Commissioning Group,3,10,6,0,0,2,1
West Suffolk Hospital,3,4,1,1,0,2,0
Welsh Ambulance Trust,3,4,3,2,0,1,0
North East Ambulance Service,3,5,4,1,0,2,0
NHS Kent and Medway Clinical Commissioning Group,3,5,3,0,1,2,0
Welsh Ambulance NHS Trust,3,4,4,3,0,0,0
North West Anglia NHS Foundation Trust,3,10,11,3,0,0,0
NHS Lancashire and South Cumbria Integrated Care Board,3,19,18,2,1,0,0
West Wales General Hospital,3,3,4,2,0,1,0
Department for Culture Media and Sport,2,7,4,0,1,1,0
Resuscitation Council,2,9,9,2,0,0,0
Rhondda Cynon Taf County Bouorgh Council,2,6,0,0,0,1,1
The Alexandra Hospital,2,6,0,0,0,1,1
Emergency Call Prioritisation Advisory Group,2,6,1,0,0,2,0
London Borough of Southwark,2,6,3,1,0,1,0
London Borough of Newham,2,6,6,2,0,0,0
National Association of Ambulance Medical Directors,2,7,2,0,0,2,0
Road Haulage Association,2,9,6,1,0,0,1
London Borough of Sutton,2,8,0,0,0,2,0
Tesco PLC,2,3,2,1,0,1,0
Princess Alexandra NHS Trust,2,2,2,2,0,0,0
National Ambulance Resilience Unit,2,6,4,0,1,1,0
Princess Royal Hospital,2,3,2,1,1,0,0
Wigan Council,2,6,2,0,0,2,0
East Sussex Healthcare NHS Trust,2,2,1,1,0,1,0
Renal Association,2,10,8,0,1,1,0
North Essex Mental Health Partnership Trust,2,2,0,0,0,2,0
Lancashire Teaching Hospitals,2,5,7,2,0,0,0
East Surrey Hospital,2,5,4,1,1,0,0
The British Society of Gastroenterology,2,6,6,2,0,0,0
Landlord,2,2,1,1,0,1,0
The British Vehicle Rental and Leasing Association,2,17,12,0,2,0,0
The Cambian Group,2,3,2,1,0,1,0
Barts NHS Trust,2,3,2,1,0,1,0
East Leicestershire and Rutland Clinical Commissioning Group,2,5,6,1,1,0,0
Energy UK,2,5,5,2,0,0,0
Kettering General Hospital,2,10,5,0,1,0,1
Kettering General Hospital NHS Foundation Trust,2,2,1,1,0,1,0
Rotherham Metropolitan Borough Council,2,2,1,1,0,1,0
Sussex Partnership Trust,2,3,1,0,0,2,0
Academy of Medical Royal Colleges,2,15,5,0,1,1,0
Prime Life Limited,2,3,2,1,0,1,0
James Paget University Hospital NHS Trust,2,3,1,1,0,1,0
British Association of Perinatal Medicine,2,9,10,1,1,0,0
London Heliport,2,6,4,0,0,2,0
CAFCASS,2,9,1,0,0,1,1
The Priory Hospital,2,3,3,2,0,0,0
National Fire Chiefs,2,2,0,0,0,2,0
Royal Berkshire Hospital Trust,2,4,3,1,0,1,0
British Cycling,2,4,2,1,1,0,0
North East Hampshire and Farnham Clinical Commissioning Group,2,7,0,0,0,2,0
THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,2,3,3,2,0,0,0
Tadworth Children’s Trust,2,9,8,1,1,0,0
East Lancashire NHS Trust,2,2,2,2,0,0,0
Kent & Medway Social Care Partnership Trust,2,4,4,2,0,0,0
Tameside Council,2,14,6,0,1,0,1
National Crime Agency,2,7,7,2,0,0,0
National College of Policing,2,6,4,1,0,1,0
Tameside NHS Foundation Trust,2,3,2,1,0,1,0
Barnsley District General Hospital,2,3,1,0,0,2,0
Tandridge District Council,2,4,0,0,0,2,0
Essex Highways Agency,2,2,0,0,0,2,0
Kent and Medway NHS,2,3,1,1,0,0,1
British Maritime Federation,2,4,0,0,0,2,0
Kent and Medway NHS Trust,2,2,0,0,0,2,0
Epsom General Hospital,2,10,9,0,1,0,1
Environment Agency,2,4,3,1,0,1,0
East Leicester Clinical Commissioning Group,2,8,5,0,1,1,0
Department of Communities and Local Government,2,14,6,0,1,1,0
Recovery Steps Cumbria,2,3,1,1,0,0,1
NHS Lothian Scotland,2,2,0,0,0,2,0
London Borough of Hounslow,2,5,4,1,0,1,0
Queens Elizabeth Hospital NHS Trust,2,2,2,2,0,0,0
Lincolnshire Community Health Service NHS Trust,2,8,1,1,0,1,0
Department for Housing Communities and Local Government,2,2,2,2,0,0,0
London Borough of Havering,2,19,5,0,1,1,0
North West Ambulance Service NHS Trust,2,6,6,2,0,0,0
The Highways Authority,2,2,2,2,0,0,0
Disclosure and Barring Service,2,3,2,1,0,1,0
North Middlesex University Hopsital,2,4,1,0,0,1,1
Queen Elizabeth Hospital King’s Lynn NHS Foundation Trust,2,4,2,1,0,1,0
BAE Systems Ltd,2,4,4,2,0,0,0
West Yorkshire Fire and Rescue Service,2,6,1,0,0,2,0
Bromley Council,2,4,3,1,0,1,0
Quality Care Commission,2,7,5,1,0,1,0
Doncaster and Bassetlaw Teaching Hospitals NHS Trust,2,3,2,1,0,1,0
Liverpool City Council,2,4,1,0,1,1,0
Devon Clinical Commissioning Group,2,4,1,0,1,1,0
Liverpool Heart and Chest Hospital,2,4,3,1,0,1,0
Derriford Hospital Trust,2,2,0,0,0,2,0
Derriford Hospital,2,3,2,1,0,1,0
The London Ambulance Service,2,17,12,0,2,0,0
Bedford Borough Council,2,2,2,2,0,0,0
North Somerset Council,2,4,4,2,0,0,0
North Wales Local Authorities,2,6,0,0,0,2,0
Derby and Derbyshire Integrated Care Board,2,4,2,1,0,0,1
North Staffordshire Combined Healthcare NHS trust,2,5,5,2,0,0,0
Derby City Council,2,7,5,1,0,0,1
The Ministry of Justice,2,7,6,1,0,1,0
Liftmaster Ltd,2,16,2,0,0,2,0
Dorset Clinical Commissioning Group,2,4,4,2,0,0,0
Weston Area Health NHS Trust,2,3,0,0,0,2,0
Sussex NHS Trust,2,3,2,1,0,0,1
East Kent University Hospitals,2,4,0,0,0,2,0
Leeds City Council,2,6,6,2,0,0,0
The Chief Fire Officer’s Association,2,2,0,0,0,2,0
Reading Borough Council,2,5,5,2,0,0,0
ASSOCIATED BRITISH PORTS,2,13,13,2,0,0,0
British Standards Institute,2,10,11,1,1,0,0
ELFT,2,2,1,1,0,1,0
Department for Education ,2,2,2,2,0,0,0
Durham Constabulary,2,3,5,1,1,0,0
British Thoracic Society,2,15,14,1,1,0,0
Leicester Partnership NHS Trust,2,2,2,2,0,0,0
Dudley Group of Hospitals NHS Trust,2,3,3,2,0,0,0
Leicester Partnership Trust,2,3,3,2,0,0,0
North London Mental Health Partnership,2,3,3,2,0,0,0
Dorset County Council,2,10,12,1,1,0,0
Leicestershire NHS Trust,2,3,2,1,0,1,0
ROYAL NATIONAL LIFEBOAT INSTITUTION,2,15,8,1,1,0,0
London Borough of Lambeth,2,6,2,0,2,0,0
Leicestershire Partnership Trust,2,4,4,2,0,0,0
The Faculty of Intensive Care Medicine,2,7,3,1,0,0,1
North London NHS Foundation Trust,2,3,3,2,0,0,0
REDACTED ,2,2,2,2,0,0,0
Bassetlaw Clinical Commissioning Group,2,10,2,0,1,1,0
The Food Standards Agency,2,5,3,1,1,0,0
Dorset Highways Department,2,2,2,2,0,0,0
Lewisham & Greenwich NHS Trust,2,5,4,1,0,1,0
Lewisham Council,2,22,8,0,1,1,0
Lewisham and Greenwich NHS Trust,2,7,6,1,1,0,0
The Phoenix Partnership,2,9,2,1,0,1,0
Cardiff & Vale University Health Board,2,2,2,2,0,0,0
Wokingham Community Mental Health Team,2,8,0,0,0,2,0
JRCALC,2,2,2,0,0,2,0
HMP Garth,2,2,3,1,0,1,0
South Western Ambulance Service NHS Foundation Trust,2,5,2,1,0,1,0
HMP High Down,2,5,2,0,0,1,1
Salford City Council,2,3,3,2,0,0,0
South West and St George’s Mental Health Trust,2,3,1,0,0,1,1
Salford Royal Foundation Trust,2,2,1,1,0,1,0
HMP Leeds,2,2,2,2,0,0,0
Adult Social Services,2,3,1,1,0,1,0
HMP Lincoln,2,7,0,0,0,1,1
HMP Lindholme,2,6,1,1,0,1,0
South West Yorkshire NHS Trust,2,3,0,0,0,1,1
Hillingdon Hospital NHS Trust,2,6,0,0,0,2,0
Salford Royal Hospital NHS Trust,2,7,3,0,1,1,0
National Trust,2,7,5,1,1,0,0
HMP Norwich,2,4,4,2,0,0,0
Sainsburys PLC,2,4,2,1,0,1,0
HMP Elmley,2,4,3,1,1,0,0
HMP Dovegate,2,2,3,2,0,0,0
Borough Care,2,2,2,2,0,0,0
Gwent Police,2,2,1,1,0,1,0
Homerton University Hospital,2,3,2,1,0,1,0
HM Inspector of Prisons,2,8,0,0,0,1,1
HM Inspector of Railways,2,4,2,0,0,0,2
HM Inspectorate of Prisons,2,6,6,2,0,0,0
Borough Care Limited,2,2,1,1,0,1,0
HM Prison Cardiff,2,3,1,1,0,1,0
South Yorkshire Police Headquaters,2,2,2,2,0,0,0
SSP HEALTH,2,5,4,1,0,1,0
HM Prison Service,2,4,2,0,0,2,0
Southend University Hospital,2,2,0,0,0,2,0
HMP Birmingham,2,4,3,1,0,1,0
Southampton County Council,2,3,0,0,0,1,1
Southampton City Council,2,4,1,0,1,0,1
South West London Integrated Care Board,2,10,11,1,1,0,0
South West Ambulance Service Trust,2,4,1,1,0,1,0
HMP Portland,2,3,1,1,0,1,0
Harbour Healthcare,2,5,1,0,0,1,1
Hammerson Plc,2,4,2,1,0,1,0
Somerset County Council,2,6,4,0,1,1,0
Blackpool Clinical Commissioning Group,2,4,5,1,1,0,0
Society of British Neurological Surgeons,2,7,4,0,1,1,0
Herefordshire Council,2,2,2,2,0,0,0
Herefordshire & Worcestershire Health and Care NHS Trust,2,3,3,2,0,0,0
Harbour Healthcare Ltd ,2,2,2,2,0,0,0
Advisory Panel on Deaths in Custody,2,8,0,0,0,1,1
Black Country Healthcare NHS Foundation,2,3,3,2,0,0,0
New Lodge Nursing Home,2,2,1,1,0,1,0
Sheffield Children’s NHS Trust,2,6,3,1,1,0,0
eBay UK Ltd,2,5,4,1,0,1,0
Sheffield Health and Social Care NHS Foundation Trust,2,2,1,1,0,1,0
Health & Safety Executives,2,8,2,0,1,1,0
Somerset Foundation Trust,2,8,8,2,0,0,0
South East Ambulance Service,2,3,3,2,0,0,0
HMP Preston,2,5,1,0,0,2,0
Sandwell Metropolitan Borough Council,2,2,0,0,0,2,0
South Wales Trunk Road Agent,2,3,1,0,1,1,0
HMP Rochester,2,4,2,1,0,1,0
South Tyneside NHS Trust,2,9,0,0,0,2,0
National Trust for the Isle of Wight,2,4,2,0,0,2,0
Natural Resources Wales,2,10,2,0,1,0,1
South Staffordshire and Shropshire Healthcare NHS Trust,2,6,5,1,1,0,0
BUPA,2,5,1,0,0,2,0
Scotia Gas Network,2,8,2,0,0,2,0
South Manchester University Hospital NHS Trust,2,2,2,2,0,0,0
[REDACTED] President of The Royal College of Radiologists,2,6,4,0,0,2,0
Highway and Transport  Wiltshire Council,2,2,2,2,0,0,0
South London & Maudsley NHS Trust,2,2,2,2,0,0,0
Newham Council,2,19,5,0,1,1,0
Nestor Primecare,2,10,4,0,2,0,0
Guys & St Thomas NHS Trust,2,5,4,1,0,1,0
Rugby Football League,2,21,23,1,1,0,0
Norfolk and Norwich University Hospital NHS Foundation Trust,2,6,3,0,1,1,0
GMMH NHS Trust,2,2,0,0,0,2,0
Alternative Futures Group,2,5,0,0,0,1,1
Bristol Community Health,2,3,1,0,0,1,1
Suffolk and North East Essex Integrated Care Board,2,4,1,0,0,1,1
North Devon Council,2,3,2,1,0,0,1
Bristol City Council,2,2,0,0,0,2,0
North Cumbria University NHS Trust: NHS England,2,4,4,2,0,0,0
National Institute for Clinical Excellence,2,6,4,1,0,1,0
Royal College of Paediatrics,2,12,12,2,0,0,0
Intensive Care Society,2,12,1,0,0,2,0
GTD Healthcare,2,4,3,1,0,1,0
National Institute for Health Care Excellence,2,4,3,1,0,1,0
Institute of Occupational Safety and Health,2,4,2,0,0,2,0
General Chiropractic Council,2,4,4,1,0,1,0
North Cumbria Integrated Care Trust,2,2,1,1,0,1,0
Bristol University,2,3,3,0,0,1,1
Barnet Enfield and Haringey Mental Health NHS Trust,2,2,0,0,0,2,0
Royal Cornwall Hospital ,2,2,2,2,0,0,0
Royal College of Obstetricians,2,9,5,0,1,1,0
Sussex Community NHS Foundation Trust,2,3,1,1,0,0,1
Football Association,2,22,23,0,1,1,0
Royal College of Midwives,2,4,2,1,0,1,0
Foreign Commonwealth and Development Office,2,3,3,2,0,0,0
Dartford and Gravesend NHS Trust,2,3,1,0,0,2,0
Amazon UK,2,4,3,1,1,0,0
Forward Trust,2,5,2,0,1,1,0
Sunrise Senior Living,2,3,3,2,0,0,0
Surrey Heartlands Clinical Commissioning Group,2,11,7,0,1,1,0
Four Seasons Healthcare,2,3,2,1,1,0,0
Association of Anaesthetists,2,9,7,1,1,0,0
National Highways Agency,2,6,8,2,0,0,0
Royal College of Obstetrics and Gynaecology,2,5,1,0,0,1,1
Islands Roads,2,4,1,1,0,1,0
General Dental Council,2,11,6,1,0,1,0
General Midwifery Council,2,7,6,1,0,1,0
St George’s Mental NHS Trust,2,4,4,2,0,0,0
Greater Manchester Medicines Management Group,2,3,1,1,0,0,1
Great Ormond Street Hospital,2,4,1,0,0,2,0
St Pancras Hospital,2,2,2,2,0,0,0
Greater Manchester Combined Authority,2,4,2,1,0,1,0
Bradford Council,2,2,2,2,0,0,0
Royal Society for the Prevention of Accidents,2,3,1,0,0,2,0
Royal Surrey County Hospital,2,10,3,0,1,1,0
Barchester Healthcare,2,3,2,1,1,0,0
Wrightington Wigan and Leigh NHS Trust,2,2,2,2,0,0,0
Wychavon District Council,2,3,3,2,0,0,0
Greater Manchester NHS Area Team,2,4,4,2,0,0,0
Wythenshawe Hospital,2,2,0,0,0,2,0
Royal United Hospitals,2,2,2,2,0,0,0
Greater Manchester West Mental Health NHS Trust,2,4,3,1,0,0,1
Norfolk and Waveney Integrated Care Board,2,8,8,2,0,0,0
Royal National Lifeboat Institution,2,4,4,2,0,0,0
Govia Thameslink Railways,2,5,5,2,0,0,0
Addaction,2,5,4,1,0,0,1
Bridgend County Borough Council,2,4,3,1,1,0,0
George Eliot Hospital,2,2,0,0,0,2,0
Royal Devon University Healthcare Foundation Trust,2,2,2,2,0,0,0
Birmingham Prison,2,5,3,1,0,1,0
Gloucestershire Care Services NHS Trust,2,2,1,1,0,1,0
Stockport Borough Council,2,5,5,2,0,0,0
Independent Police Complaints Commission,2,8,5,1,0,1,0
National Institute of Clinical Excellence,2,6,8,1,1,0,0
Government Legal Department,2,5,2,1,0,0,1
"Barking, Havering & Redbridge University Hospitals NHS Trust",2,3,0,0,0,1,1
Gloucestershire NHS Trust,2,3,0,0,0,2,0
Royal Free Hospital ,2,2,2,2,0,0,0
North Cumbria Integrated Care,2,2,2,2,0,0,0
Incommunities,2,2,1,1,0,1,0
Staffordshire Fire and Rescue Service HQ,2,2,2,2,0,0,0
London Underground,2,2,0,0,0,2,0
NORTHAMPTON GENERAL HOSPITAL NHS TRUST,2,4,4,2,0,0,0
Clarion Housing Group,2,4,4,2,0,0,0
Complex Spine Clinic,2,5,4,1,1,0,0
Committee on Vaccination and Immunisation,2,5,1,0,0,2,0
Turning Point,2,4,4,2,0,0,0
Pavilions,2,6,4,1,0,0,1
Tyne and Wear NHS Foundation Trust,2,3,3,2,0,0,0
College of Emergency Medicine,2,6,4,1,0,1,0
Partnerships In Care,2,3,2,1,0,1,0
Medication And Healthcare Products Regulatory Agency,2,13,12,0,2,0,0
Apple,2,6,4,0,1,1,0
Medtronic,2,9,3,0,1,1,0
Oxfordshire County Council,2,3,3,2,0,0,0
United Lincolnshire Hospital,2,2,1,1,0,1,0
Merseyside Police,2,15,14,1,1,0,0
City Hospitals NHS Trust,2,2,2,2,0,0,0
Universities and Colleges Admissions Service,2,5,4,1,1,0,0
Churchgate Surgery,2,6,3,0,0,1,1
University College Hospital,2,3,1,0,1,1,0
Choice Support,2,3,0,0,0,2,0
North Yorkshire Police,2,5,2,1,0,1,0
Children’s Commissioner for England,2,12,8,0,1,1,0
University Hospital of Wales,2,3,1,0,0,2,0
One Hosing Group,2,3,2,1,0,1,0
Chief Medical Officer for England,2,9,1,0,1,1,0
Chief Inspector of Prisons,2,9,1,0,0,1,1
Tredegar Practice,2,2,1,1,0,1,0
Mayor of London,2,18,22,0,2,0,0
Oldham Metropolitan Borough Council,2,7,5,1,0,1,0
Mayor of Greater Manchester,2,6,2,0,1,0,1
CQC North,2,6,5,0,2,0,0
Philips Respironics,2,5,5,0,1,1,0
Coventry and Rugby Clinical Commissioning Group,2,6,0,0,0,2,0
TomTom,2,9,8,1,1,0,0
Coventry City Council,2,2,1,1,0,1,0
Coventry & Warwickshire Partnership NHS Trust,2,2,0,0,0,2,0
Torbay and South Devon NHS Trust,2,4,3,1,0,1,0
Peterborough City Council,2,4,1,0,0,2,0
Tower Hamlets Borough Council,2,3,2,1,0,1,0
NHS Greater Manchester Integrated Care,2,2,2,2,0,0,0
Berkshire Integrated Care Board,2,13,12,0,2,0,0
CWM Taff Health Board,2,4,3,1,0,1,0
Trading Standards,2,2,0,0,0,2,0
Trading Standards Institute,2,16,9,1,1,0,0
Pennine Care Trust,2,5,0,0,0,2,0
Cornwall & Isles of Scilly Integrated Care Board,2,6,2,0,1,0,1
Cormac,2,4,2,1,0,1,0
Trafford Council,2,11,10,1,0,1,0
Conway County Council,2,6,2,1,0,1,0
Avon and Somerset Constabulary,2,3,1,1,0,0,1
Trafford Metropolitan Borough Council,2,5,3,1,1,0,0
Anueron Bevan University Health Board,2,3,1,1,0,0,1
Transport Research Laboratory,2,5,4,0,1,1,0
West Hertfordshire Hospitals NHS Trust,2,2,1,1,0,1,0
University Hospitals Bristol,2,4,3,2,0,0,0
West Norfolk Clinical Commissioning Group,2,6,5,1,0,1,0
Central Manchester NHS Trust,2,2,1,1,0,1,0
"Ministry of Housing, Communities and Local Government",2,5,4,1,1,0,0
Birmingham Women’s and Children’s NHS Foundation Trust,2,7,7,2,0,0,0
Nottingham Emergency Medical Service,2,8,0,0,0,2,0
Nottingham County Council,2,6,4,1,0,1,0
Mitie Care and Custody,2,9,1,0,1,1,0
NHS Birmingham and Solihull Integrated Care Board,2,7,6,1,1,0,0
Walsall Local Authority,2,6,2,0,0,1,1
Walsall MBC,2,5,4,1,0,1,0
Walsall Manor Hospital,2,3,4,1,0,1,0
Not Listed,2,2,1,1,0,1,0
Monmouthshire County Council,2,3,2,2,0,0,0
Wandsworth Borough Council,2,22,8,0,2,0,0
Northwick Park Hospital,2,4,4,2,0,0,0
Northamptonshire Police,2,3,3,2,0,0,0
Arrowe Park Hospital,2,2,1,1,0,1,0
Care UK Clinical Services,2,9,4,0,0,1,1
Watford General Hospital,2,2,2,2,0,0,0
Care Outlook Ltd,2,3,2,1,0,1,0
Care Inspectorate Wales,2,9,1,0,0,2,0
Northern Care Alliance,2,6,2,1,0,1,0
Cardinal Healthcare,2,2,0,0,0,2,0
Cardiff and Vale NHS Trust,2,2,2,2,0,0,0
Cardiff University,2,2,2,2,0,0,0
Capita,2,4,4,2,0,0,0
Central Manchester University Hospitals,2,5,4,1,1,0,0
Oldham Clinical Commissioning Group,2,8,0,0,0,2,0
Welsh Ambulance Services NHS Trust,2,5,3,1,1,0,0
Cambridgeshire Constabulary,2,8,3,0,1,1,0
University Hospitals Coventry and Warwickshire NHS Trust,2,6,4,1,0,1,0
Office of Product Safety Standards,2,9,10,1,1,0,0
Chief Constable of Essex Police,2,2,0,0,0,2,0
Chief Constable,2,6,34,0,1,1,0
Chesterfield Royal Hospital NHS Foundation Trust,2,2,0,0,0,2,0
Birmingham & Solihull Mental Heath NHS Trust,2,2,1,1,0,0,1
Cheshire and Wirral NHS Trust,2,5,1,1,0,1,0
5 Borough Partnership NHS Trust,2,4,5,1,1,0,0
Welsh Cycling,2,4,2,1,1,0,0
Cheshire Constabulary,2,17,13,1,0,1,0
5 Boroughs NHS Foundation Trust,2,2,2,2,0,0,0
Chelsea and Westminster Hospital,2,4,1,0,1,1,0
Nuffield Health,2,2,1,1,0,0,1
Chartered Institute of Environmental Health,2,4,2,0,0,2,0
Nottinghamshire Police,2,2,1,1,0,1,0
Vehicle and Operator Services Agency,2,7,3,0,2,0,0
Veterinary Medicines Directorate,2,4,3,1,1,0,0
Minister of State for Prisons,2,6,4,1,0,1,0
Virgin Care,2,6,4,1,0,1,0
Virgin care Coventry LLP,2,6,0,0,0,2,0
Nottingham and Nottinghamshire Police,2,7,3,0,1,1,0
Nottingham and Nottinghamshire Integrated Care Board,2,8,0,0,0,2,0
Manchester Mental Health NHS Trust,2,4,1,0,1,1,0
Baedling Manor Care Home,2,2,2,2,0,0,0
MFT,2,2,1,1,0,1,0
MEDACS Healthcare,2,13,6,0,2,0,0
The Royal Yachting Association,2,4,0,0,0,2,0
"Cumbria, Northumberland, Tyne and Wear NHS Foundation Trust",2,4,4,2,0,0,0
Luton Borough Council,2,2,1,1,0,1,0
2gether NHS Trust,2,3,1,1,0,1,0
West Suffolk NHS Foundation Trust,2,4,1,0,0,1,1
Croft Shifa Health Centre,2,2,1,1,0,1,0
The Royal College of Pathology,2,9,4,1,0,1,0
The Royal College of Physicians,2,9,4,1,0,0,1
Cumbria Constabulary,2,15,13,1,0,1,0
The Road Transport Industry Training Board,2,10,7,0,1,1,0
CIOS ICB,2,6,5,0,2,0,0
The Security Service,2,19,14,0,2,0,0
Beko Plc,2,13,5,0,1,1,0
The Royal Wolverhampton NHS Trust,2,2,2,2,0,0,0
Maidstone and Tunbridge Wells NHS Foundation Trust,2,4,4,2,0,0,0
The Road Haulage Association,2,6,3,1,0,1,0
Russells Hall Hospital ,1,1,0,0,0,1,0
Russell Hall Hospital,1,2,0,0,0,1,0
ORCi,1,2,2,1,0,0,0
Rushcliffe Clinical Commissioning Group,1,7,2,0,1,0,0
Rushcliffe Care,1,3,0,0,0,1,0
Rush Green Medical Centre,1,1,0,0,0,1,0
Normanton Village View Nursing Home,1,3,0,0,0,1,0
Rush Court Nursing Home,1,1,1,1,0,0,0
Nursing & Midwifery Council,1,2,2,1,0,0,0
Royton & Crompton Family Practice,1,4,0,0,0,1,0
Rugby Football Union ,1,1,1,1,0,0,0
Arden Court Nursing Home,1,1,1,1,0,0,0
Ashford and St Peter’s Hospitals NHS Trust,1,1,0,0,0,1,0
North Wales Police,1,1,1,1,0,0,0
Ashgate House Nursing Home,1,2,0,0,0,1,0
Rugby Football Union,1,20,22,0,1,0,0
Area Transport and Highways,1,2,2,1,0,0,0
Royal Wolverhampton NHS Trust,1,1,1,1,0,0,0
North West Ambulance,1,4,0,0,0,1,0
Nuttall Ltd,1,2,2,1,0,0,0
S & J Transport,1,5,2,0,0,0,1
Ashlea Medical Practice,1,1,1,1,0,0,0
SALFORD ROYAL HOSPITAL FOUNDATION TRUST,1,2,2,1,0,0,0
SATH,1,2,2,1,0,0,0
Princess Street Practice,1,2,1,0,0,1,0
Arjo Huntliegh,1,9,5,0,1,0,0
Norfolk Police,1,4,0,0,0,1,0
Norfolk Swift Response,1,2,0,0,0,1,0
Safety Matters (Legal) Limited,1,4,0,0,0,1,0
Safety Assessment Federation,1,8,2,0,0,1,0
Safehands Ltd,1,1,0,0,0,1,0
Safeguarding Adults Board,1,1,0,0,0,1,0
SW Yorks NHS Trust,1,3,1,0,0,1,0
SSP Health Ltd,1,4,4,1,0,0,0
Aneurin University Health Board,1,2,1,0,0,1,0
Priority Dispatch Corporation,1,1,0,0,0,1,0
SMA Medical Practice,1,2,0,0,0,1,0
Portsmouth Motocross Club,1,2,1,0,1,0,0
SHSC,1,1,1,1,0,0,0
SERCO Group Plc,1,3,3,1,0,0,0
Nottinghamshire Safeguarding Children Board,1,5,4,0,0,1,0
SE Galvanisers,1,2,0,0,0,1,0
Npower,1,3,3,1,0,0,0
SCAS Legal Services,1,1,1,1,0,0,0
Nuffield Hospital,1,1,0,0,0,1,0
Nuffield Road Medical Centre,1,1,0,0,0,1,0
"Royal United Hospital, Bath",1,2,1,0,0,0,1
Ashfield Surgery Sutton Coldfield,1,4,4,1,0,0,0
SC Johnson and Son,1,1,1,1,0,0,0
Priory Group of Hospitals,1,4,3,0,0,1,0
Oak Lodge Care Home,1,4,1,0,1,0,0
Arts University Bournemouth,1,3,3,1,0,0,0
Oadby and Wigston Borough Council,1,3,2,0,0,1,0
Royal Hallamshire Hospital,1,4,0,0,0,1,0
Royal Gwent Hospital,1,4,2,0,0,0,1
North Court Care Home – Maven Healthcare ,1,1,1,1,0,0,0
Prism Medical UK Ltd,1,4,1,0,0,1,0
Office of Rail and Road,1,3,3,1,0,0,0
Royal Free London NHS Foundation Trust ,1,1,1,1,0,0,0
Office of the Traffic Commissioner,1,4,4,1,0,0,0
Officer of the College of Policing,1,2,4,0,1,0,0
Ofsted,1,3,3,1,0,0,0
Northamptonshire Children Safeguarding Partnership,1,8,8,1,0,0,0
Old Bridge Surgery,1,2,2,1,0,0,0
Old Catton Medical Practice,1,1,1,1,0,0,0
North Cumbria Integrated Care NHS Foundation Trust,1,1,2,1,0,0,0
Northampton General Hospital ,1,1,1,1,0,0,0
Northampton General Hospital Trust,1,2,0,0,0,1,0
Oldham Borough Council,1,2,0,0,0,1,0
Alexandra & Crestview Surgeries ,1,1,2,0,0,1,0
Royal Docks Medical Practice,1,2,1,0,1,0,0
Oldham Care Commissioning Group,1,4,1,0,0,0,1
Royal Devon University Healthcare NHS Foundation,1,2,2,1,0,0,0
North Cumbria Integrated Care NHS Foundation Trust   ,1,1,1,1,0,0,0
North Tyneside Hospital,1,2,1,0,0,1,0
